Customer_ID,Age,Gender,Marital_Status,State,Product_Category,Order_Date,Orders,Amount
91,35,M,Single,Maharashtra,Home,2023-01-09,6,1883
92,64,M,Married,Karnataka,Clothing,2023-01-09,1,39989
93,41,M,Single,Delhi,Food,2023-01-09,4,4470
94,43,F,Married,Karnataka,Clothing,2023-01-09,7,5578
95,42,F,Married,Delhi,Food,2023-01-09,4,36079
96,62,F,Single,Maharashtra,Clothing,2023-01-09,9,47592
97,58,M,Single,Maharashtra,Home,2023-01-09,5,14506
98,46,F,Married,Maharashtra,Home,2023-01-09,9,21779
99,32,M,Single,Uttar Pradesh,Electronics,2023-01-09,1,14441
100,62,F,Married,Karnataka,Clothing,2023-01-09,4,47999
101,18,M,Married,Delhi,Electronics,2023-01-10,7,14124
102,42,F,Married,Maharashtra,Food,2023-01-10,2,34173
103,24,M,Single,Maharashtra,Clothing,2023-01-10,9,25025
104,26,F,Married,Delhi,Electronics,2023-01-10,3,33759
105,41,M,Married,Karnataka,Food,2023-01-10,4,14215
106,18,F,Married,Karnataka,Clothing,2023-01-10,4,47980
107,61,M,Married,Delhi,Electronics,2023-01-10,8,42000
108,25,F,Single,Haryana,Clothing,2023-01-10,2,36154
109,41,F,Single,Karnataka,Clothing,2023-01-10,5,13107
110,28,F,Single,Delhi,Electronics,2023-01-10,2,47828
111,68,M,Single,Delhi,Home,2023-01-10,6,17339
112,34,M,Married,Maharashtra,Home,2023-01-11,9,33918
113,25,M,Married,Delhi,Electronics,2023-01-11,9,26388
114,52,M,Married,Uttar Pradesh,Food,2023-01-11,1,47063
115,52,M,Married,Maharashtra,Electronics,2023-01-11,4,20493
116,50,F,Married,Maharashtra,Electronics,2023-01-11,4,42263
117,22,M,Married,Karnataka,Clothing,2023-01-11,1,36652
118,59,F,Single,Haryana,Home,2023-01-11,2,37972
119,56,F,Married,Karnataka,Home,2023-01-11,6,32893
120,58,M,Married,Uttar Pradesh,Home,2023-01-11,3,44300
121,45,F,Married,Maharashtra,Home,2023-01-11,9,11754
122,24,M,Single,Maharashtra,Electronics,2023-01-11,3,16602
123,26,M,Married,Delhi,Clothing,2023-01-12,3,42773
124,25,M,Married,Haryana,Home,2023-01-12,9,19529
125,29,F,Married,Haryana,Home,2023-01-12,3,24000
126,51,M,Single,Delhi,Clothing,2023-01-12,6,22313
127,50,M,Married,Uttar Pradesh,Electronics,2023-01-12,6,2553
128,65,M,Married,Haryana,Electronics,2023-01-12,1,20398
129,40,F,Single,Maharashtra,Electronics,2023-01-12,7,33577
130,41,M,Married,Uttar Pradesh,Home,2023-01-12,9,31117
131,54,F,Single,Karnataka,Home,2023-01-12,9,15691
132,52,F,Married,Karnataka,Home,2023-01-12,9,21884
133,61,M,Single,Uttar Pradesh,Electronics,2023-01-12,2,5621
134,57,F,Married,Maharashtra,Home,2023-01-13,1,33031
135,39,F,Married,Karnataka,Food,2023-01-13,6,22606
136,44,M,Single,Maharashtra,Clothing,2023-01-13,6,31993
137,52,M,Married,Delhi,Food,2023-01-13,4,40165
138,18,M,Married,Haryana,Food,2023-01-13,8,22378
139,52,F,Single,Uttar Pradesh,Home,2023-01-13,5,48873
140,54,M,Married,Haryana,Clothing,2023-01-13,7,10306
141,64,F,Single,Delhi,Food,2023-01-13,9,42282
142,31,F,Married,Karnataka,Electronics,2023-01-13,1,10019
143,20,F,Single,Maharashtra,Electronics,2023-01-13,9,16941
144,18,F,Married,Maharashtra,Electronics,2023-01-13,4,34516
145,22,F,Married,Delhi,Electronics,2023-01-14,7,26525
146,43,M,Single,Uttar Pradesh,Clothing,2023-01-14,4,30397
147,31,M,Married,Haryana,Electronics,2023-01-14,4,17401
148,56,F,Single,Karnataka,Clothing,2023-01-14,4,18961
149,44,F,Single,Uttar Pradesh,Clothing,2023-01-14,6,25226
150,26,M,Single,Delhi,Clothing,2023-01-14,5,6884
151,32,M,Married,Delhi,Clothing,2023-01-14,2,49398
152,32,F,Married,Maharashtra,Home,2023-01-14,9,36941
153,43,F,Married,Karnataka,Food,2023-01-14,6,38417
154,59,M,Single,Uttar Pradesh,Home,2023-01-14,6,19397
155,30,M,Single,Maharashtra,Food,2023-01-14,9,7108
156,68,F,Single,Karnataka,Home,2023-01-15,1,43744
157,49,M,Married,Haryana,Electronics,2023-01-15,7,18278
158,56,M,Single,Haryana,Clothing,2023-01-15,3,18589
159,66,F,Married,Maharashtra,Electronics,2023-01-15,4,42632
160,69,F,Married,Uttar Pradesh,Electronics,2023-01-15,1,19305
161,49,F,Married,Karnataka,Electronics,2023-01-15,3,9291
162,21,M,Married,Haryana,Home,2023-01-15,7,31735
163,47,F,Married,Haryana,Electronics,2023-01-15,6,20388
164,54,M,Married,Uttar Pradesh,Clothing,2023-01-15,1,19183
165,40,F,Married,Maharashtra,Clothing,2023-01-15,9,20899
166,56,F,Married,Delhi,Food,2023-01-15,4,39974
167,62,M,Single,Karnataka,Home,2023-01-15,7,48139
168,32,M,Married,Haryana,Clothing,2023-01-16,4,44577
169,60,F,Married,Delhi,Clothing,2023-01-16,7,7271
170,46,F,Single,Uttar Pradesh,Home,2023-01-16,5,29778
171,53,M,Single,Maharashtra,Electronics,2023-01-16,1,16738
172,30,F,Single,Karnataka,Clothing,2023-01-16,4,25510
173,49,M,Single,Uttar Pradesh,Electronics,2023-01-16,3,3158
174,24,M,Married,Maharashtra,Clothing,2023-01-16,6,12391
175,68,F,Single,Uttar Pradesh,Food,2023-01-16,6,35591
176,39,M,Single,Haryana,Electronics,2023-01-16,1,36163
177,45,M,Single,Haryana,Clothing,2023-01-16,2,2031
178,19,M,Single,Delhi,Home,2023-01-16,2,11858
179,59,F,Married,Uttar Pradesh,Home,2023-01-17,4,30906
180,62,M,Single,Haryana,Home,2023-01-17,9,16005
181,23,F,Single,Maharashtra,Clothing,2023-01-17,2,32123
182,45,F,Single,Delhi,Electronics,2023-01-17,8,46222
183,45,F,Single,Karnataka,Food,2023-01-17,1,34049
184,61,M,Married,Uttar Pradesh,Food,2023-01-17,8,34693
185,61,M,Single,Haryana,Clothing,2023-01-17,3,38196
186,37,F,Single,Maharashtra,Clothing,2023-01-17,5,3051
187,47,F,Single,Uttar Pradesh,Clothing,2023-01-17,1,28562
188,28,M,Married,Maharashtra,Electronics,2023-01-17,1,11015
189,45,F,Single,Delhi,Home,2023-01-17,6,45881
190,42,F,Single,Haryana,Electronics,2023-01-18,3,33824
191,56,M,Married,Haryana,Electronics,2023-01-18,8,9204
192,50,F,Single,Delhi,Clothing,2023-01-18,4,11910
193,18,M,Married,Maharashtra,Food,2023-01-18,6,6938
194,44,M,Married,Uttar Pradesh,Electronics,2023-01-18,9,23402
195,69,F,Single,Maharashtra,Food,2023-01-18,8,6286
196,30,M,Single,Uttar Pradesh,Clothing,2023-01-18,4,37419
197,58,M,Married,Delhi,Electronics,2023-01-18,8,13699
198,20,M,Married,Karnataka,Home,2023-01-18,7,6593
199,56,F,Single,Uttar Pradesh,Home,2023-01-18,5,48853
200,23,F,Married,Haryana,Electronics,2023-01-18,7,29191
201,25,F,Married,Haryana,Home,2023-01-19,7,32402
202,44,M,Single,Haryana,Electronics,2023-01-19,2,23618
203,26,M,Married,Maharashtra,Home,2023-01-19,7,5516
204,54,F,Married,Maharashtra,Clothing,2023-01-19,3,39777
205,50,F,Married,Maharashtra,Home,2023-01-19,8,45556
206,68,M,Married,Haryana,Home,2023-01-19,8,36228
207,59,F,Married,Uttar Pradesh,Clothing,2023-01-19,9,21827
208,61,F,Married,Haryana,Clothing,2023-01-19,4,26328
209,41,F,Single,Uttar Pradesh,Home,2023-01-19,3,42184
210,32,F,Married,Maharashtra,Food,2023-01-19,9,18190
211,49,F,Single,Karnataka,Food,2023-01-19,9,22122
212,49,M,Single,Maharashtra,Electronics,2023-01-20,2,14702
213,41,F,Single,Delhi,Home,2023-01-20,6,17110
214,58,F,Single,Uttar Pradesh,Electronics,2023-01-20,3,32267
215,69,M,Single,Karnataka,Clothing,2023-01-20,5,8999
216,66,M,Single,Maharashtra,Home,2023-01-20,2,26593
217,66,M,Single,Karnataka,Clothing,2023-01-20,4,32554
218,69,M,Single,Haryana,Home,2023-01-20,3,43304
219,29,F,Married,Uttar Pradesh,Home,2023-01-20,2,5708
220,56,F,Single,Delhi,Clothing,2023-01-20,6,7942
221,19,F,Single,Haryana,Home,2023-01-20,3,44128
222,20,F,Single,Karnataka,Home,2023-01-20,4,21632
223,66,M,Married,Maharashtra,Electronics,2023-01-21,6,7545
224,54,M,Single,Uttar Pradesh,Clothing,2023-01-21,5,49515
225,66,F,Married,Delhi,Food,2023-01-21,4,8124
226,34,F,Single,Maharashtra,Food,2023-01-21,4,18663
227,66,F,Single,Delhi,Home,2023-01-21,2,13684
228,19,F,Married,Uttar Pradesh,Electronics,2023-01-21,4,17469
229,19,M,Single,Karnataka,Home,2023-01-21,8,13049
230,45,F,Married,Delhi,Electronics,2023-01-21,5,32473
231,40,M,Married,Uttar Pradesh,Home,2023-01-21,8,22591
232,54,M,Single,Delhi,Food,2023-01-21,6,22326
233,49,M,Single,Maharashtra,Clothing,2023-01-21,5,13482
234,50,M,Married,Delhi,Electronics,2023-01-22,4,40197
235,18,F,Married,Maharashtra,Home,2023-01-22,9,6920
236,36,F,Single,Maharashtra,Home,2023-01-22,5,45270
237,19,F,Single,Uttar Pradesh,Electronics,2023-01-22,6,4531
238,61,F,Single,Haryana,Electronics,2023-01-22,7,40710
239,43,M,Married,Delhi,Food,2023-01-22,1,39628
240,49,M,Single,Karnataka,Electronics,2023-01-22,9,18731
241,23,M,Married,Maharashtra,Home,2023-01-22,8,27313
242,49,F,Single,Haryana,Food,2023-01-22,5,38107
243,21,M,Married,Maharashtra,Food,2023-01-22,3,44945
244,28,M,Married,Haryana,Clothing,2023-01-22,5,7851
245,34,M,Single,Haryana,Clothing,2023-01-23,5,17126
246,55,M,Married,Karnataka,Clothing,2023-01-23,9,38813
247,41,F,Married,Haryana,Electronics,2023-01-23,7,2600
248,22,M,Married,Karnataka,Food,2023-01-23,2,9941
249,69,M,Married,Uttar Pradesh,Electronics,2023-01-23,5,2237
250,51,F,Married,Maharashtra,Food,2023-01-23,9,31781
251,23,F,Single,Karnataka,Home,2023-01-23,2,10610
252,39,F,Single,Maharashtra,Electronics,2023-01-23,8,18276
253,28,M,Married,Delhi,Food,2023-01-23,3,8939
254,65,M,Single,Uttar Pradesh,Clothing,2023-01-23,4,24527
255,33,M,Married,Delhi,Clothing,2023-01-23,2,27007
256,50,M,Married,Delhi,Home,2023-01-23,9,12800
257,26,F,Single,Haryana,Electronics,2023-01-24,6,29460
258,23,M,Married,Haryana,Food,2023-01-24,9,46918
259,33,M,Married,Delhi,Clothing,2023-01-24,8,41052
260,46,F,Married,Haryana,Food,2023-01-24,9,29060
261,20,F,Single,Maharashtra,Electronics,2023-01-24,5,10039
262,37,F,Single,Haryana,Clothing,2023-01-24,6,14362
263,53,M,Married,Delhi,Home,2023-01-24,7,49784
264,36,M,Married,Haryana,Home,2023-01-24,5,32723
265,43,M,Married,Haryana,Electronics,2023-01-24,1,12315
266,20,M,Married,Karnataka,Electronics,2023-01-24,9,2354
267,36,M,Married,Karnataka,Food,2023-01-24,2,44404
268,37,F,Single,Delhi,Home,2023-01-25,7,22934
269,49,F,Single,Maharashtra,Electronics,2023-01-25,8,38345
270,24,M,Single,Uttar Pradesh,Electronics,2023-01-25,8,38608
271,69,M,Single,Uttar Pradesh,Home,2023-01-25,1,1105
272,58,M,Married,Delhi,Food,2023-01-25,7,46166
273,50,M,Married,Maharashtra,Food,2023-01-25,9,13871
274,57,M,Single,Maharashtra,Home,2023-01-25,3,15476
275,56,F,Single,Maharashtra,Home,2023-01-25,8,49783
276,35,F,Married,Karnataka,Home,2023-01-25,8,13180
277,57,F,Single,Delhi,Home,2023-01-25,9,46368
278,18,M,Married,Uttar Pradesh,Home,2023-01-25,8,29752
279,28,M,Married,Maharashtra,Electronics,2023-01-26,5,6657
280,45,F,Married,Delhi,Clothing,2023-01-26,5,31693
281,42,F,Single,Uttar Pradesh,Home,2023-01-26,3,31370
282,67,M,Single,Karnataka,Clothing,2023-01-26,6,16545
283,40,F,Single,Haryana,Food,2023-01-26,3,23497
284,48,F,Single,Uttar Pradesh,Electronics,2023-01-26,2,29516
285,47,M,Single,Uttar Pradesh,Clothing,2023-01-26,7,44727
286,59,F,Married,Uttar Pradesh,Food,2023-01-26,3,31763
287,52,F,Single,Haryana,Food,2023-01-26,4,22076
288,24,F,Married,Maharashtra,Food,2023-01-26,8,21173
289,33,M,Married,Haryana,Home,2023-01-26,1,46493
290,43,F,Married,Uttar Pradesh,Electronics,2023-01-27,9,36901
291,65,F,Single,Karnataka,Food,2023-01-27,6,30764
292,69,F,Single,Uttar Pradesh,Home,2023-01-27,2,33242
293,66,M,Single,Karnataka,Clothing,2023-01-27,3,3176
294,19,M,Single,Delhi,Electronics,2023-01-27,5,1715
295,18,F,Single,Karnataka,Clothing,2023-01-27,6,19361
296,65,M,Single,Uttar Pradesh,Clothing,2023-01-27,9,16360
297,29,F,Single,Haryana,Home,2023-01-27,2,2764
298,22,M,Single,Uttar Pradesh,Clothing,2023-01-27,5,32240
299,54,M,Married,Uttar Pradesh,Electronics,2023-01-27,7,1469
300,49,F,Single,Delhi,Clothing,2023-01-27,7,39896
301,26,F,Married,Maharashtra,Home,2023-01-28,4,1100
302,58,F,Married,Uttar Pradesh,Food,2023-01-28,3,37723
303,52,M,Married,Delhi,Home,2023-01-28,8,22825
304,36,F,Married,Haryana,Food,2023-01-28,2,10024
305,65,M,Single,Delhi,Clothing,2023-01-28,5,3216
306,33,M,Single,Delhi,Food,2023-01-28,5,13208
307,20,F,Married,Karnataka,Home,2023-01-28,1,31800
308,37,M,Married,Maharashtra,Home,2023-01-28,7,17665
309,41,F,Married,Maharashtra,Electronics,2023-01-28,4,1934
310,50,M,Single,Haryana,Electronics,2023-01-28,2,15352
311,41,F,Married,Delhi,Food,2023-01-28,8,37606
312,69,M,Married,Haryana,Food,2023-01-29,4,15465
313,28,M,Single,Haryana,Electronics,2023-01-29,1,26092
314,66,F,Married,Maharashtra,Clothing,2023-01-29,8,3202
315,25,M,Single,Maharashtra,Electronics,2023-01-29,7,27892
316,53,F,Single,Maharashtra,Clothing,2023-01-29,3,20875
317,55,M,Married,Uttar Pradesh,Food,2023-01-29,3,9151
318,57,M,Married,Delhi,Food,2023-01-29,7,16689
319,37,M,Married,Haryana,Home,2023-01-29,2,17415
320,52,F,Single,Delhi,Home,2023-01-29,5,2477
321,65,F,Single,Haryana,Clothing,2023-01-29,7,47105
322,42,F,Single,Haryana,Clothing,2023-01-29,6,11969
323,52,F,Married,Haryana,Electronics,2023-01-30,7,47328
324,42,F,Married,Haryana,Clothing,2023-01-30,2,33558
325,46,M,Married,Karnataka,Food,2023-01-30,7,6577
326,35,M,Married,Karnataka,Food,2023-01-30,2,43935
327,63,F,Married,Uttar Pradesh,Food,2023-01-30,7,7114
328,35,M,Married,Maharashtra,Home,2023-01-30,8,34907
329,19,M,Single,Haryana,Clothing,2023-01-30,8,8946
330,52,M,Single,Delhi,Clothing,2023-01-30,5,38084
331,33,M,Single,Karnataka,Home,2023-01-30,7,19521
332,58,F,Married,Maharashtra,Home,2023-01-30,8,49702
333,53,M,Single,Uttar Pradesh,Home,2023-01-30,4,1299
334,50,F,Single,Maharashtra,Food,2023-01-30,2,10439
335,21,F,Single,Haryana,Clothing,2023-01-31,7,27587
336,50,M,Married,Maharashtra,Electronics,2023-01-31,1,39910
337,31,F,Married,Haryana,Electronics,2023-01-31,2,17120
338,38,M,Single,Karnataka,Clothing,2023-01-31,7,35472
339,65,M,Married,Karnataka,Clothing,2023-01-31,1,31517
340,37,M,Married,Haryana,Home,2023-01-31,7,7681
341,25,F,Married,Delhi,Home,2023-01-31,5,39527
342,24,F,Married,Karnataka,Food,2023-01-31,3,41598
343,20,F,Single,Delhi,Home,2023-01-31,2,47678
344,34,M,Married,Haryana,Clothing,2023-01-31,7,44555
345,50,M,Single,Haryana,Food,2023-01-31,9,21385
346,65,M,Single,Karnataka,Electronics,2023-02-01,9,18596
347,29,F,Married,Delhi,Clothing,2023-02-01,8,26026
348,68,M,Married,Haryana,Electronics,2023-02-01,2,23594
349,39,M,Married,Karnataka,Clothing,2023-02-01,1,4296
350,39,F,Single,Haryana,Clothing,2023-02-01,8,21308
351,63,F,Single,Maharashtra,Food,2023-02-01,2,30870
352,47,F,Single,Maharashtra,Food,2023-02-01,4,18583
353,55,M,Single,Karnataka,Home,2023-02-01,4,10828
354,55,M,Single,Haryana,Clothing,2023-02-01,2,4610
355,62,M,Single,Karnataka,Clothing,2023-02-01,4,20256
356,68,F,Single,Uttar Pradesh,Food,2023-02-01,7,48945
357,25,F,Married,Karnataka,Electronics,2023-02-02,6,43343
358,44,F,Single,Karnataka,Home,2023-02-02,6,31397
359,44,F,Single,Maharashtra,Clothing,2023-02-02,4,38849
360,51,M,Single,Maharashtra,Food,2023-02-02,2,11008
361,38,M,Single,Haryana,Clothing,2023-02-02,5,30866
362,47,M,Married,Karnataka,Food,2023-02-02,3,9083
363,50,M,Single,Karnataka,Home,2023-02-02,3,668
364,45,M,Single,Haryana,Electronics,2023-02-02,4,28164
365,64,M,Married,Delhi,Clothing,2023-02-02,5,20092
366,50,M,Married,Haryana,Clothing,2023-02-02,2,42645
367,22,M,Single,Maharashtra,Home,2023-02-02,6,25056
368,65,F,Single,Maharashtra,Electronics,2023-02-03,6,46324
369,36,F,Single,Karnataka,Clothing,2023-02-03,8,20393
370,21,M,Single,Maharashtra,Home,2023-02-03,2,24433
371,52,F,Single,Haryana,Clothing,2023-02-03,8,16659
372,66,M,Single,Karnataka,Clothing,2023-02-03,8,21361
373,34,M,Married,Haryana,Home,2023-02-03,4,28502
374,61,F,Married,Haryana,Home,2023-02-03,7,14056
375,45,M,Single,Karnataka,Food,2023-02-03,7,5220
376,47,M,Single,Delhi,Food,2023-02-03,1,18597
377,46,M,Single,Maharashtra,Clothing,2023-02-03,1,35780
378,63,M,Married,Uttar Pradesh,Home,2023-02-03,8,28337
379,23,M,Single,Uttar Pradesh,Electronics,2023-02-04,1,14334
380,52,M,Married,Uttar Pradesh,Electronics,2023-02-04,3,39946
381,58,M,Married,Maharashtra,Clothing,2023-02-04,6,35946
382,54,F,Single,Delhi,Food,2023-02-04,8,33549
383,41,F,Married,Haryana,Home,2023-02-04,5,38194
384,46,M,Single,Karnataka,Home,2023-02-04,5,17313
385,66,F,Married,Delhi,Food,2023-02-04,4,11320
386,63,M,Single,Uttar Pradesh,Home,2023-02-04,4,16505
387,48,M,Single,Maharashtra,Clothing,2023-02-04,7,29424
388,52,M,Married,Maharashtra,Home,2023-02-04,6,21542
389,50,M,Married,Karnataka,Home,2023-02-04,8,22046
390,69,F,Married,Haryana,Food,2023-02-05,6,49109
391,38,F,Single,Delhi,Food,2023-02-05,7,5132
392,49,F,Married,Delhi,Electronics,2023-02-05,5,44405
393,40,F,Married,Delhi,Clothing,2023-02-05,6,43777
394,50,M,Single,Haryana,Food,2023-02-05,1,45444
395,20,F,Single,Haryana,Food,2023-02-05,3,19547
396,35,M,Married,Haryana,Food,2023-02-05,8,42395
397,42,M,Married,Karnataka,Home,2023-02-05,3,11034
398,59,F,Married,Maharashtra,Clothing,2023-02-05,1,2188
399,48,M,Single,Uttar Pradesh,Clothing,2023-02-05,3,22819
400,20,F,Single,Haryana,Home,2023-02-05,4,42342
401,57,F,Married,Maharashtra,Home,2023-02-06,8,43979
402,63,F,Single,Haryana,Food,2023-02-06,9,1316
403,41,F,Married,Uttar Pradesh,Electronics,2023-02-06,4,37134
404,67,F,Married,Haryana,Electronics,2023-02-06,7,33074
405,49,M,Single,Maharashtra,Clothing,2023-02-06,1,46435
406,64,F,Married,Karnataka,Electronics,2023-02-06,9,33945
407,39,F,Married,Uttar Pradesh,Food,2023-02-06,4,10946
408,40,M,Single,Maharashtra,Home,2023-02-06,9,30303
409,19,F,Married,Delhi,Clothing,2023-02-06,3,14315
410,44,F,Married,Delhi,Clothing,2023-02-06,5,28059
411,59,M,Single,Delhi,Home,2023-02-06,1,40500
412,19,M,Married,Karnataka,Electronics,2023-02-07,3,11006
413,43,F,Married,Haryana,Clothing,2023-02-07,5,2946
414,34,M,Single,Haryana,Home,2023-02-07,6,18772
415,57,F,Single,Haryana,Home,2023-02-07,8,2220
416,50,M,Single,Karnataka,Electronics,2023-02-07,1,26979
417,26,F,Married,Delhi,Electronics,2023-02-07,3,723
418,60,F,Single,Haryana,Food,2023-02-07,1,13452
419,65,F,Married,Karnataka,Electronics,2023-02-07,5,34202
420,56,M,Single,Karnataka,Electronics,2023-02-07,8,34576
421,46,F,Married,Maharashtra,Home,2023-02-07,4,46765
422,59,M,Married,Haryana,Clothing,2023-02-07,9,41685
423,43,F,Single,Delhi,Home,2023-02-07,6,33467
424,52,F,Married,Uttar Pradesh,Food,2023-02-08,6,48512
425,67,F,Married,Karnataka,Home,2023-02-08,5,49125
426,42,F,Single,Maharashtra,Food,2023-02-08,5,5574
427,41,F,Married,Uttar Pradesh,Electronics,2023-02-08,7,48630
428,30,M,Married,Karnataka,Clothing,2023-02-08,8,20877
429,24,M,Married,Maharashtra,Clothing,2023-02-08,7,23956
430,53,M,Single,Haryana,Home,2023-02-08,1,40201
431,62,F,Single,Maharashtra,Clothing,2023-02-08,1,49656
432,37,F,Single,Karnataka,Food,2023-02-08,6,49542
433,18,M,Single,Haryana,Food,2023-02-08,3,8971
434,25,F,Single,Delhi,Electronics,2023-02-08,9,40858
435,63,F,Single,Maharashtra,Home,2023-02-09,7,3519
436,33,F,Single,Uttar Pradesh,Electronics,2023-02-09,2,38625
437,31,M,Single,Haryana,Clothing,2023-02-09,3,19248
438,29,M,Married,Haryana,Electronics,2023-02-09,8,49778
439,68,M,Married,Delhi,Clothing,2023-02-09,1,29475
440,40,M,Married,Maharashtra,Food,2023-02-09,5,11488
